start,goal,runs,path_found,total_cost,runtime_ms_min,runtime_ms_mean,runtime_ms_max,algorithm,cost_type,dataset,edge_node_ratio,expanded_backward_max,expanded_backward_mean,expanded_backward_min,expanded_forward_max,expanded_forward_mean,expanded_forward_min,expanded_nodes_max,expanded_nodes_mean,expanded_nodes_min,optimality_gap_pct,runs_per_pair,scenario,seed,stress_max,stress_mean,stress_min
N_0_0,N_9_99,10,True,364.70272029436677,29.911799996625632,32.377479993738234,38.71569997863844,weighted_a_star,distance,graph_5000,3.46,,,,,,,4496,4496,4496,0.0,10,mixed,42,0.8992,0.8992,0.8992
N_0_0,N_7_53,10,True,181.92256659112144,9.866400039754808,10.726319998502731,12.486200022976846,weighted_a_star,distance,graph_5000,3.46,,,,,,,1544,1544,1544,0.0,10,mixed,42,0.3088,0.3088,0.3088
N_0_0,N_4_99,10,True,346.046398332055,31.511500012129545,37.36029001302086,44.41020003287122,weighted_a_star,distance,graph_5000,3.46,,,,,,,4270,4270,4270,0.0,10,mixed,42,0.854,0.854,0.854
N_0_0,N_48_53,10,True,263.20531084280213,22.125700023025274,23.728689999552444,26.715399988461286,weighted_a_star,distance,graph_5000,3.46,,,,,,,3073,3073,3073,0.0,10,mixed,42,0.6146,0.6146,0.6146
N_0_0,N_45_99,10,True,406.016163682926,36.5927999955602,41.36447999626398,45.31809996115044,weighted_a_star,distance,graph_5000,3.46,,,,,,,4858,4858,4858,0.0,10,mixed,42,0.9716,0.9716,0.9716
N_0_0,N_9_99,10,True,364.70272029436677,86.80370001820847,90.9723800024949,93.38130004471168,bidirectional_a_star,distance,graph_5000,3.46,4993,4993,4993,4587,4587,4587,9580,9580,9580,0.0,10,mixed,42,1.916,1.916,1.916
N_0_0,N_7_53,10,True,181.92256659112132,63.562900002580136,68.0856200051494,71.95439998758957,bidirectional_a_star,distance,graph_5000,3.46,4985,4985,4985,1722,1722,1722,6707,6707,6707,-6.249188314121136e-14,10,mixed,42,1.3414,1.3414,1.3414
N_0_0,N_4_99,10,True,346.04639833205493,88.26089999638498,90.40940998820588,93.7493999954313,bidirectional_a_star,distance,graph_5000,3.46,4993,4993,4993,4378,4378,4378,9371,9371,9371,-1.6426530989715114e-14,10,mixed,42,1.8742,1.8742,1.8742
N_0_0,N_48_53,10,True,263.205310842802,74.97419998981059,86.2543799856212,139.54049994936213,bidirectional_a_star,distance,graph_5000,3.46,4981,4981,4981,3147,3147,3147,8128,8128,8128,-4.319321572865786e-14,10,mixed,42,1.6256,1.6256,1.6256
N_0_0,N_45_99,10,True,406.01616368292594,89.18499998981133,101.62030999781564,113.38739999337122,bidirectional_a_star,distance,graph_5000,3.46,4991,4991,4991,4865,4865,4865,9856,9856,9856,-1.400028470423145e-14,10,mixed,42,1.9712,1.9712,1.9712
